Index,Drink Name,Ingredient (Original),Rum Category,Ingredient,Page
352,The Undead Gentleman,ABSINTHE BLANC,,Absinthe (Blanc),142
682,Doctor Funk,HERBSAINT,,Absinthe (Herbsaint),266
606,Cosa Nostra #2,AMARO AVERNA,,Amaro (Averna),210
176,Jungle Bird,CAMPARI,,Amaro (Campari),96
147,Formidable Dragon,AMARO DI ANGOSTURA,,Amaro (Di Angostura),93
245,Norwegian Paralysis,AQUAVIT,,Aquavit,119
291,The Naked Ape,GIFFARD BANANE DU BRÉSIL BANANA LIQUEUR,,Banana Liqueur,134
409,Arrack Punch,BATAVIA ARRACK,,Batavia Arrack,163
209,La Guildive,GINGER BEER,,Beer (Ginger),116
105,Suffering Bastard,GINGER BEER,,Beer (Ginger),65
586,Donn Day Afternoon,STIEGL-RADLER GRAPEFRUIT BEER,,Beer (Grapefruit),206
547,A Wish For Grace,ANGOSTURA BITTERS,,Bitters (Aromatic),201
566,Abricot Vieux,ANGOSTURA BITTERS,,Bitters (Aromatic),203
597,Agricole Guava Cooler,ANGOSTURA BITTERS,,Bitters (Aromatic),209
507,Barbados Rum Punch,ANGOSTURA BITTERS,,Bitters (Aromatic),179
279,Callaloo Cooler,ANGOSTURA BITTERS,,Bitters (Aromatic),121
518,Corn And Oil,ANGOSTURA BITTERS,,Bitters (Aromatic),180
608,Cosa Nostra #2,ANGOSTURA BITTERS,,Bitters (Aromatic),210
23,Don's Own Grog,ANGOSTURA BITTERS,,Bitters (Aromatic),40
756,Eureka Punch,ANGOSTURA BITTERS,,Bitters (Aromatic),312
404,For Pete's Sake,ANGOSTURA BITTERS,,Bitters (Aromatic),145
185,Golden Gun,ANGOSTURA BITTERS,,Bitters (Aromatic),97
77,Halekulani Cocktail,ANGOSTURA BITTERS,,Bitters (Aromatic),61
736,Hondo Hattie's Jungle Punch!,ANGOSTURA BITTERS,,Bitters (Aromatic),311
514,Jamaican Milk Punch,ANGOSTURA BITTERS,,Bitters (Aromatic),180
341,Kaiteur Swizzle,ANGOSTURA BITTERS,,Bitters (Aromatic),140
206,Max's Mistake,ANGOSTURA BITTERS,,Bitters (Aromatic),115
200,Pampanito,ANGOSTURA BITTERS,,Bitters (Aromatic),115
571,Paniolo Old-Fashioned,ANGOSTURA BITTERS,,Bitters (Aromatic),203
670,Planter's Punch,ANGOSTURA BITTERS,,Bitters (Aromatic),258
31,Port Au Prince,ANGOSTURA BITTERS,,Bitters (Aromatic),40
784,Puka Punch,ANGOSTURA BITTERS,,Bitters (Aromatic),318
14,Pupule,ANGOSTURA BITTERS,,Bitters (Aromatic),39
524,Queen's Park Swizzle,ANGOSTURA BITTERS,,Bitters (Aromatic),181
601,Richard Sealebach,ANGOSTURA BITTERS,,Bitters (Aromatic),209
232,Shudders In A Whisper,ANGOSTURA BITTERS,,Bitters (Aromatic),118
726,Singapore Sling,ANGOSTURA BITTERS,,Bitters (Aromatic),276
328,Smuggler's Rum Barrel,ANGOSTURA BITTERS,,Bitters (Aromatic),139
110,Suffering Bastard,ANGOSTURA BITTERS,,Bitters (Aromatic),65
368,The Dead Reckoning,ANGOSTURA BITTERS,,Bitters (Aromatic),142
294,The Naked Ape,ANGOSTURA BITTERS,,Bitters (Aromatic),134
359,The Undead Gentleman,ANGOSTURA BITTERS,,Bitters (Aromatic),142
40,Tree Dots And A Dash,ANGOSTURA BITTERS,,Bitters (Aromatic),43
749,Triumvirate Punch,ANGOSTURA BITTERS,,Bitters (Aromatic),312
321,The Sexpert,BITTERMENS BURLESQUE BITTERS,,Bitters (Bittermens Burlesque),137
540,The Chadburn,BITTERMENS XOCOLATL (CHOCOLATE) MOLE BITTERS,,Bitters (Chocolate),201
381,Humuhumunukunukuapua'A,PEYCHAUD's BITTERS,,Bitters (Creole),144
387,Lauwiliwilinukunuku'Oi'Oi,PEYCHAUD's BITTERS,,Bitters (Creole),144
602,Richard Sealebach,PEYCHAUD's,,Bitters (Creole),209
265,Roselita,PEYCHAUD's BITTERS,,Bitters (Creole),120
231,Shudders In A Whisper,PEYCHAUD's BITTERS,,Bitters (Creole),118
647,The Mastadon,PEYCHAUD's BITTERS,,Bitters (Creole),251
69,Jet Pilot,HERBSTURA,,Bitters (Herbstura),61
773,Rumbustion Punch,HERBSTURA,,Bitters (Herbstura),313
314,The Ernesto,HERBSTURA,,Bitters (Herbstura),137
222,The Twenty Seventy Swizzle,HERBSTURA,,Bitters (Herbstura),116
131,Tiki Bowl,HERBSTURA,,Bitters (Herbstura),68
694,Zombie,HERBSTURA,,Bitters (Herbstura),268
567,Abricot Vieux,ORANGE BITTERS,,Bitters (Orange),203
375,Falinum,ORANGE BITTERS,,Bitters (Orange),144
638,Monk's Respite,ORANGE BITTERS,,Bitters (Orange),251
727,Singapore Sling,ORANGE BITTERS,,Bitters (Orange),276
663,Bumboat,BITTERMENS 'ELEMAKULE TIKI BITTERS,,Bitters (Tiki),252
238,Cuevas,BITTERMENS 'ELEMAKULE TIKI BITTERS,,Bitters (Tiki),118
743,Kahiko Punch,BITTERMENS 'ELEMAKULE TIKI BITTERS,,Bitters (Tiki),311
481,Millionaire Cocktail No. 1,BLACK POT STILL RUM,,Black Pot Still Rum,175
140,Mundo Perdido,APPLE BRANDY,,Brandy (Apple),93
708,Scorpion,BRANDY,,Brandy (Grape),272
109,Suffering Bastard,BRANDY,,Brandy (Grape),65
466,Twelve Mile Limit,BRANDY,,Brandy (Grape),172
764,Yuletidal Wave,BRANDY,,Brandy (Grape),313
715,Fog Cutter,PISCO,,Brandy (Pisco),275
403,For Pete's Sake,PERUVIAN PISCO,,Brandy (Pisco),145
319,The Sexpert,PERUVIAN PISCO,,Brandy (Pisco),137
365,The Dead Reckoning,VANILLA BRANDY,,Brandy (Vanilla),142
411,Arrack Punch,CABONATED CHAI TEA,,Cabonated Chai Tea,163
487,Batida De Maracuja E Coco,POT STILL AGED CACHAÇA,,Cachaça,175
416,El Draque,POT STILL AGED CACHAÇA,,Cachaça,163
486,Batida De Maracuja E Coco,COCONUT MILK,,Coconut Milk,175
627,Caribeño,COCONUT WATER,,Coconut Water,249
632,Monk's Respite,COCONUT WATER,,Coconut Water,251
371,Falinum,COCONUT CREAM,,Cream (Coconut),144
156,Lei Lani Volcano 2.0,COCONUT CREAM,,Cream (Coconut),94
168,Peachtree Punch 2.0,COCONUT CREAM,,Cream (Coconut),96
160,Tradewinds,COCONUT CREAM,,Cream (Coconut),94
510,Jamaican Milk Punch,HEAVY WHIPPING CREAM,,Cream (Heavy Whipping),180
470,Parisian Blonde,SWEET CREAM,,Cream (Sweet),174
472,Cora Middleton,EGG WHITE,,Egg (White),174
48,Port Light,EGG WHITE,,Egg (White),44
422,Rum Flip,MEDIUM EGG,,Egg Medium,165
662,Bumboat,ALMOND EXTRACT,,Extract (Almond),252
97,Captain's Grog,ALMOND EXTRACT,,Extract (Almond),65
432,Calibogus,SPRUCE BEER SODA EXTRACT,,Extract (Spruce Beer Soda),167
96,Captain's Grog,VANILLA EXTRACT,,Extract (Vanilla),65
562,Hot Buttered Rum Batter,VANILLA EXTRACT,,Extract (Vanilla),202
513,Jamaican Milk Punch,VANILLA EXTRACT,,Extract (Vanilla),180
42,Mexican El Diablo,LIME WEDGE,,Fruit (Lime),43
502,Ti' Punch / Ti' Punch Vieux,LIME SMALL ROUNDED CHUNK,,Fruit (Lime),179
528,House Spiced Rum,STRIP ORANGE PEEL,,Fruit (Orange),193
165,Peachtree Punch 2.0,"YELLOW OR WHITE PEACH, PITTED, AND COARSELY CHOPPED INTO CHUNKS (WITH SKIN)",,Fruit (Peach),96
1,Aku Aku,(1-INCH-SQUARE) CHUNKS PINEAPPLE ,,Fruit (Pineapple),39
617,Boo Loo,(1-INCH-SQUARE) CHUNKS PINEAPPLE ,,Fruit (Pineapple),249
445,Hotel Nacional Special,(1-INCH-SQUARE) PINEAPPLE CHUNKS,,Fruit (Pineapple),171
716,Fog Cutter,GIN,,Gin,275
380,Humuhumunukunukuapua'A,GIN,,Gin,144
320,The Sexpert,GIN,,Gin,137
636,Monk's Respite,BROKER's GIN,,Gin,251
630,Caribeño,LONDON DRY GIN,,Gin,249
192,Hinky Dinks Fizzy,LONDON DRY GIN,,Gin,97
205,Max's Mistake,LONDON DRY GIN,,Gin,115
123,Saturn,LONDON DRY GIN,,Gin,67
709,Scorpion,LONDON DRY GIN,,Gin,272
725,Singapore Sling,LONDON DRY GIN,,Gin,276
108,Suffering Bastard,LONDON DRY GIN,,Gin,65
483,Millionaire Cocktail No. 1,SLOE GIN,,Gin (Sloe),175
577,Port Royal,HELLFIRE TINCTURE,,Hellfire Tincture,204
549,Hot Buttered Rum,HOT BUTTERED RUM BATTER,,Hot Buttered Rum Batter,202
94,Captain's Grog,GRAPEFRUIT JUICE,,Juice (Grapefruit),65
390,Finkelgrog,GRAPEFRUIT JUICE,,Juice (Grapefruit),145
180,Golden Gun,GRAPEFRUIT JUICE,,Juice (Grapefruit),97
63,Jet Pilot,GRAPEFRUIT JUICE,,Juice (Grapefruit),61
697,Navy Grog,GRAPEFRUIT JUICE,,Juice (Grapefruit),271
687,Zombie,GRAPEFRUIT JUICE,,Juice (Grapefruit),268
354,The Undead Gentleman,GRAPEFRUIT JUICE (WHITE OR PINK),,Juice (Grapefruit),142
542,A Wish For Grace,LEMON JUICE,,Juice (Lemon),201
406,Arrack Punch,LEMON JUICE,,Juice (Lemon),163
658,Bumboat,LEMON JUICE,,Juice (Lemon),252
605,Cosa Nostra #2,LEMON JUICE,,Juice (Lemon),210
56,Demerara Dry Float,LEMON JUICE,,Juice (Lemon),44
678,Doctor Funk,LEMON JUICE,,Juice (Lemon),266
752,Eureka Punch,LEMON JUICE,,Juice (Lemon),312
370,Falinum,LEMON JUICE,,Juice (Lemon),144
712,Fog Cutter,LEMON JUICE,,Juice (Lemon),275
143,Formidable Dragon,LEMON JUICE,,Juice (Lemon),93
71,Halekulani Cocktail,LEMON JUICE,,Juice (Lemon),61
330,Hana Reviver,LEMON JUICE,,Juice (Lemon),139
88,Hawaiin Sunset,LEMON JUICE,,Juice (Lemon),62
729,Hondo Hattie's Jungle Punch!,LEMON JUICE,,Juice (Lemon),311
377,Humuhumunukunukuapua'A,LEMON JUICE,,Juice (Lemon),144
133,Hurricane,LEMON JUICE,,Juice (Lemon),68
738,Kahiko Punch,LEMON JUICE,,Juice (Lemon),311
579,Kingston Palaka,LEMON JUICE,,Juice (Lemon),204
383,Lauwiliwilinukunuku'Oi'Oi,LEMON JUICE,,Juice (Lemon),144
202,Max's Mistake,LEMON JUICE,,Juice (Lemon),115
112,Merciless Virgin,LEMON JUICE,,Juice (Lemon),67
633,Monk's Respite,LEMON JUICE,,Juice (Lemon),251
137,Mundo Perdido,LEMON JUICE,,Juice (Lemon),93
242,Norwegian Paralysis,LEMON JUICE,,Juice (Lemon),119
195,Pampanito,LEMON JUICE,,Juice (Lemon),115
167,Peachtree Punch 2.0,LEMON JUICE,,Juice (Lemon),96
650,Piñata,LEMON JUICE,,Juice (Lemon),252
50,Port Light,LEMON JUICE,,Juice (Lemon),44
119,Saturn,LEMON JUICE,,Juice (Lemon),67
721,Singapore Sling,LEMON JUICE,,Juice (Lemon),276
611,Spontaneous Rumbustion,LEMON JUICE,,Juice (Lemon),210
362,The Dead Reckoning,LEMON JUICE,,Juice (Lemon),142
289,The Naked Ape,LEMON JUICE,,Juice (Lemon),134
316,The Sexpert,LEMON JUICE,,Juice (Lemon),137
159,Tradewinds,LEMON JUICE,,Juice (Lemon),94
462,Twelve Mile Limit,LEMON JUICE,,Juice (Lemon),172
