max_ingredients,num_possible_drinks,weighted_score
6,17,18.021035961824825
7,19,21.135756825058536
8,22,24.815760012244567
9,25,28.248598169731217
10,28,31.874708203592068
11,31,35.93199900977916
12,34,38.76756253118034
13,37,42.29126069131791
14,39,44.27088189771555
15,41,45.65717625883544
16,44,47.14329095523754
17,46,49.12291216163516
18,48,52.54235736774249
19,50,53.335324883584654
20,53,56.008093270542226
21,55,58.05964960873252
22,57,60.11120594692283
23,59,61.14749931000951
24,61,63.86431762527023
25,63,64.97399928485628
26,65,67.69081760011699
27,67,68.41184998416647
28,69,70.46340632235678
29,70,71.15655350291672
30,72,73.31063858759232
31,74,75.82277933311187
32,76,77.87433567130216
33,77,78.56748285186211
34,78,79.84623592467315
35,80,82.00032100934877
36,81,82.96349532712176
37,82,83.8471997777979
38,83,85.01505166531206
39,84,85.23349413891779
40,85,86.71282336600487
41,86,87.55507761432114
42,87,88.24822479488108
43,88,89.60663395251146
44,89,90.67478703369486
45,90,92.20880498496012
46,91,93.39160534895555
47,92,93.97010524670347
48,93,95.32851440433382
49,94,96.70979622363015
50,95,98.06820538126053
51,96,98.76135256182047
52,97,100.05607972941488
53,98,100.74922690997482
54,99,102.10763606760517
55,100,102.53075611095207
56,101,104.18206506746142
57,102,105.5404742250918
58,103,106.02894383591058
59,104,106.72209101647053
60,105,107.41523819703048
61,106,108.10838537759042
62,107,108.98613461764305
63,108,110.28086178523745
64,109,111.63927094286777
65,110,112.99768010049814
66,111,113.69082728105806
67,111,113.69082728105809
68,112,114.38397446161801
69,112,114.38397446161801
70,113,115.5377060495072
71,113,115.53770604950722
72,114,116.23085323006714
