ingredient,sku_used,url,recipe,bottle,price,Notes
Absinthe (Blanc),,https://www.totalwine.com/spirits/liqueurscordialsschnapps/herbal-spice/absinthe/oregon-spirit-absinthe/p/189841050?s=1411&igrules=true,FALSE,TRUE,$6.99,"Only a dash required, 50ml is fine"
Absinthe (Herbsaint),,https://www.totalwine.com/spirits/liqueurscordialsschnapps/herbal-spice/anise/legendre-herbsaint/p/115767750?s=1411&igrules=true,FALSE,TRUE,$42.99,
Amaro (Averna),,https://www.totalwine.com/spirits/amaro-aperitif-vermouth/amaro/lightsweet/averna-amaro/p/8754750?s=1411&igrules=true,FALSE,TRUE,$38.99,
Amaro (Campari),,https://www.totalwine.com/spirits/amaro-aperitif-vermouth/aperitif/bitter-red/campari/p/2724750?s=1411&igrules=true,FALSE,TRUE,$23.99,
Amaro (Di Angostura),,https://curiada.com/products/amaro-di-angostura-liqueur,FALSE,TRUE,$30.99,
Aquavit,Aalborg,https://www.totalwine.com/spirits/liqueurscordialsschnapps/herbal-spice/herbal-blend/aalborg-taffel-akvavit/p/180207750?s=1411&igrules=true,FALSE,TRUE,$23.99,
Banana Liqueur,Tempus Fugit,https://www.totalwine.com/spirits/liqueurscordialsschnapps/fruit/banana/giffard-banane-du-bresil-liqueur/p/130496750?s=1411&igrules=true,FALSE,TRUE,$33.99,
Batavia Arrack,Van Oosten,https://curiada.com/products/batavia-arrack-van-oosten,FALSE,TRUE,$40.99,
Beer (Ginger),,https://www.fredmeyer.com/p/fever-tree-premium-ginger-beer/0089819500127?searchType=default_search,FALSE,FALSE,$6.49,
Beer (Grapefruit),,https://www.totalwine.com/beer/specialty-styles/fruit-beer/stiegl-grapefruit-radler/p/123311162?s=1411&igrules=true,FALSE,TRUE,$11.49,
Bitters (Aromatic),Angostura Bitters,https://www.totalwine.com/accessories-more/mixers-water-soda/bitters/angostura-bitters/p/2961804?s=1411&igrules=true,FALSE,TRUE,$12.99,
Bitters (Bittermens Burlesque),Bittermen's Burlesque Bitters,https://www.amazon.com/Bittermens-Burlesque-Bitters/dp/B004Y4Z9KY,FALSE,TRUE,$22.99,
Bitters (Chocolate),Woodford Reserve Chocolate Bitters,https://www.totalwine.com/accessories-more/mixers-water-soda/bitters/woodford-reserve-chocolate-bitters/p/221488233?s=1411&igrules=true,FALSE,TRUE,$10.99,
Bitters (Creole),Peychauds Bitters,https://www.totalwine.com/accessories-more/mixers-water-soda/bitters/peychaud-bitters/p/103342233?s=1411&igrules=true,FALSE,TRUE,$7.99,
Bitters (Herbstura),Herbsaint + Angostura Bitters,,TRUE,TRUE,$52.99,"Only requires a dash of both, but no way to go around buying both bottles."
Bitters (Orange),Fee Brothers Orange Bitters,https://www.totalwine.com/accessories-more/mixers-water-soda/bitters/fee-brothers-orange-bitters/p/113247233?s=1411&igrules=true,FALSE,TRUE,$9.99,
Bitters (Tiki),Bittermen's Elekamule Tiki Bitters,https://www.totalwine.com/accessories-more/mixers-water-soda/bitters/bittermens-elemakule-tiki-bitters/p/120671804?s=1411&igrules=true,FALSE,TRUE,$20.99,
Black Pot Still Rum,Hamilton Jamaican Black Pot Still Rum,https://www.astorwines.com/item/31300,FALSE,TRUE,$29.96,
Brandy (Apple),Laird's Applejack 86,https://www.totalwine.com/spirits/brandy-cognac/brandy/lairds-straight-apple-jack-86/p/183633750?s=1411&igrules=true,FALSE,TRUE,$27.99,
Brandy (Grape),Hennessy VS Cognac,https://www.totalwine.com/spirits/brandy-cognac/cognac/hennessy-vs-cognac/p/581750,FALSE,TRUE,$44.99,
Brandy (Pisco),Alto Del Carmen,https://www.totalwine.com/spirits/brandy-cognac/pisco/alto-del-carmen-pisco/p/36667750?s=1411&igrules=true,FALSE,TRUE,$30.99,
Brandy (Vanilla),St Remy + Vanilla Bean,https://www.totalwine.com/spirits/brandy-cognac/brandy/st-remy-vsop-brandy/p/97089750?s=1411&igrules=true,TRUE,TRUE,$25,
Cabonated Chai Tea,Masala Chai Concentrate,https://www.amazon.com/STEVEN-SMITH-TEAMAKER-Masala-Concentrate/dp/B08ZR73L4D/ref=sr_1_5_f3_wg?almBrandId=VUZHIFdob2xlIEZvb2Rz&crid=1792Y2BY238XU&fpw=alm&keywords=chai+concentrate&qid=1708194228&s=wholefoods&sprefix=chai+concentr%2Cwholefoods%2C385&sr=1-5,TRUE,FALSE,$15,Combining chai concentrate + soda water for chai soda
Cachaça,Novo Fogo,https://www.totalwine.com/spirits/rum/cachaca/novo-fogo-silver-cachaca/p/117687750?s=1411&igrules=true,FALSE,TRUE,$37.99,
Coconut Milk,,https://www.amazon.com/Native-Forest-Coconut-Milk-Simple/dp/B01E8THWMM/ref=sr_1_3_f3_wg?almBrandId=VUZHIFdob2xlIEZvb2Rz&fpw=alm&keywords=Native+Forest&qid=1708194445&s=wholefoods&sr=1-3,FALSE,FALSE,$3.99,
Coconut Water,,https://www.amazon.com/365-Everyday-Value-Coconut-Water/dp/B074H4SHH4/,FALSE,FALSE,$2.19,
Cream (Coconut),,https://www.amazon.com/Native-Forest-Coconut-Cream-organic/dp/B07893W8C1/,FALSE,FALSE,$2.19,
Cream (Heavy Whipping),,https://www.amazon.com/365-WFM-Organic-Heavy-Cream/dp/B08G9XYDNS/,FALSE,FALSE,$3.39,
Cream (Sweet),,https://www.amazon.com/365-WFM-Organic-Heavy-Cream/dp/B08G9XYDNS/,TRUE,FALSE,$4.50,6 oz. of heavy whipping cream and 1 oz. SC demerara syrup
Egg (White),,https://www.amazon.com/365-Whole-Foods-Market-Brown/dp/B074H739XR/ref=sr_1_2_pp_f3_wg?almBrandId=VUZHIFdob2xlIEZvb2Rz&crid=3QD05TOPWUJVG&fpw=alm&keywords=egg&qid=1708194567&s=wholefoods&sprefix=e%2Cwholefoods%2C363&sr=1-2,FALSE,FALSE,$4.49,
Egg Medium,,https://www.amazon.com/365-Whole-Foods-Market-Brown/dp/B074H739XR/ref=sr_1_2_pp_f3_wg?almBrandId=VUZHIFdob2xlIEZvb2Rz&crid=3QD05TOPWUJVG&fpw=alm&keywords=egg&qid=1708194567&s=wholefoods&sprefix=e%2Cwholefoods%2C363&sr=1-2,FALSE,FALSE,$4.49,
Extract (Almond),,https://www.amazon.com/365-Everyday-Value-Almond-Extract/dp/B07NS86TSL/ref=sr_1_1_f3_wg?almBrandId=VUZHIFdob2xlIEZvb2Rz&crid=2ONW8BV4GPGT4&fpw=alm&keywords=almond+extract&qid=1708194585&s=wholefoods&sprefix=almond+extr%2Cwholefoods%2C411&sr=1-1,FALSE,TRUE,$4.49,
Extract (Spruce Beer Soda),,https://www.amazon.com/Homebrewers-Outpost-SF13-Rainbow-Essence-Beer/dp/B074DBLXQG/ref=sr_1_1?crid=32CDNDPGT00RV&keywords=spruce+beer+extract&qid=1708194605&sprefix=spruce+beer+extra%2Caps%2C379&sr=8-1,FALSE,TRUE,$14.13,
Extract (Vanilla),,https://www.amazon.com/365-Everyday-Value-Organic-Vanilla/dp/B074VBL8R9/ref=sr_1_6_f3_wg?almBrandId=VUZHIFdob2xlIEZvb2Rz&crid=2BNQJQRU2CFV4&fpw=alm&keywords=vanilla+extract&qid=1708194656&s=wholefoods&sprefix=vanilla+extr%2Cwholefoods%2C393&sr=1-6,FALSE,TRUE,$9.99,
Fruit (Lime),,,FALSE,FALSE,,
Fruit (Orange),,,FALSE,FALSE,,
Fruit (Peach),,,FALSE,FALSE,,
Fruit (Pineapple),,,FALSE,FALSE,,
Gin,,https://www.totalwine.com/spirits/gin/hendricks-gin/p/96365750?s=1411&igrules=true,FALSE,TRUE,$29.99,
Gin (Sloe),,https://www.totalwine.com/spirits/gin/sipsmith-sloe-gin/p/170916750?s=1411&igrules=true,FALSE,TRUE,$37.99,
Hellfire Tincture,Bittermens Hellfire Habanero Shrub,https://www.totalwine.com/accessories-more/mixers-water-soda/bitters/bittermens-hellfire-habanero-shrub/p/124855233?s=1411&igrules=true,FALSE,TRUE,$20.99,
Hot Buttered Rum Batter,,,TRUE,FALSE,,
Juice (Grapefruit),,,FALSE,FALSE,,
Juice (Lemon),,,FALSE,FALSE,,
Juice (Lime),,,FALSE,FALSE,,
Juice (Orange),,,FALSE,FALSE,,
Juice (Pineapple),,,FALSE,FALSE,,
Leaves (Mint),,,FALSE,FALSE,,
Li Hing Mui Powder,,,FALSE,FALSE,,
Liqueur (Allspice Dram),,,FALSE,TRUE,,
